U+69D0,槐
U+69D3,槓
U+69DD,槝
U+69DE,槞
U+69E7,槧
U+69E8,槨
U+69EB,槫
U+69ED,槭
U+69F2,槲
U+69F9,槹
U+69FF,槿
U+6A02,樂
U+6A05,樅
U+6A0A,樊
U+6A0C,樌
U+6A12,樒
U+6A13,樓
U+6A14,樔
U+6A1B,樛
U+6A1E,樞
U+6A22,樢
U+6A23,樣
U+6A2E,樮
U+6A36,樶
U+6A38,樸
U+6A44,橄
U+6A47,橇
U+6A48,橈
U+6A59,橙
U+6A62,橢
U+6A66,橦
U+6A72,橲
U+6A78,橸
U+6A84,檄
U+6A8D,檍
U+6A90,檐
U+6A97,檗
U+6A9C,檜
U+6AA0,檠
U+6AA2,檢
U+6AA3,檣
U+6AAA,檪
U+6AAC,檬
U+6AAE,檮
U+6AB3,檳
U+6AB8,檸
U+6ABB,檻
U+6AC1,櫁
U+6AC2,櫂
U+6AC3,櫃
U+6AD1,櫑
U+6ADA,櫚
U+6ADE,櫞
U+6ADF,櫟
U+6AEA,櫪
U+6AFA,櫺
U+6AFB,櫻
U+6B05,欅
U+6B0A,權
U+6B12,欒
U+6B16,欖
U+6B1F,欟
U+6B37,欷
U+6B38,欸
U+6B39,欹
U+6B43,歃
U+6B47,歇
U+6B49,歉
U+6B50,歐
U+6B54,歔
U+6B59,歙
U+6B5B,歛
U+6B5F,歟
U+6B61,歡
U+6B78,歸
U+6B79,歹
U+6B7F,歿
U+6B80,殀
U+6B83,殃
U+6B84,殄
U+6B8D,殍
U+6B95,殕
U+6B98,殘
U+6B9E,殞
U+6BA4,殤
U+6BAA,殪
U+6BAB,殫
U+6BAF,殯
U+6BB1,殱
U+6BB2,殲
U+6BB3,殳
U+6BB7,殷
U+6BBC,殼
U+6BC0,毀
U+6BC6,毆
U+6BCB,毋
U+6BD3,毓
U+6BDF,毟
U+6BEB,毫
U+6BEC,毬
U+6BEF,毯
U+6BF3,毳
U+6C08,氈
U+6C13,氓
U+6C14,气
U+6C1B,氛
U+6C23,氣
U+6C24,氤
U+6C55,汕
U+6C5E,汞
U+6C62,汢
U+6C68,汨
U+6C6A,汪
U+6C73,汳
U+6C7E,汾
U+6C81,沁
U+6C82,沂
U+6C8D,沍
U+6C90,沐
U+6C92,沒
U+6C9A,沚
U+6C9B,沛
U+6CAE,沮
U+6CB1,沱
U+6CBA,沺
U+6CBD,沽
U+6CBE,沾
U+6CC4,泄
U+6CC5,泅
U+6CD3,泓
U+6CD7,泗
U+6CD9,泙
U+6CDB,泛
U+6CDD,泝
U+6CEA,泪
U+6CEF,泯
U+6CF1,泱
U+6D0C,洌
U+6D12,洒
U+6D19,洙
U+6D1F,洟
U+6D2B,洫
U+6D33,洳
U+6D35,洵
U+6D36,洶
U+6D38,洸
U+6D3D,洽
U+6D59,浙
U+6D5A,浚
U+6D63,浣
U+6D64,浤
U+6D79,浹
U+6D85,涅
U+6D8E,涎
U+6D93,涓
U+6D95,涕
U+6DB5,涵
U+6DB8,涸
U+6DC5,淅
U+6DC6,淆
U+6DC7,淇
U+6DCC,淌
U+6DD2,淒
U+6DD5,淕
U+6DD9,淙
U+6DDE,淞
U+6DE4,淤
U+6DE6,淦
U+6DE8,淨
U+6DEA,淪
U+6DEC,淬
U+6DEE,淮
U+6DF9,淹
U+6DFA,淺
U+6E0A,渊
U+6E15,渕
U+6E19,渙
U+6E1D,渝
U+6E1F,渟
U+6E23,渣
U+6E24,渤
U+6E2B,渫
U+6E2D,渭
U+6E2E,渮
U+6E38,游
