U+6585,斅
U+658A,斊
U+65B2,斲
U+65B5,斵
U+65B8,斸
U+65BF,斿
U+65C2,旂
U+65C9,旉
U+65D4,旔
U+65F2,旲
U+65F9,旹
U+65FC,旼
U+6604,昄
U+6608,昈
U+6621,昡
U+662A,昪
U+6645,晅
U+664E,晎
U+6651,晑
U+6657,晗
U+665B,晛
U+6663,晣
U+666A,晪
U+666B,晫
U+666C,晬
U+666D,晭
U+667B,晻
U+6680,暀
U+6690,暐
U+6692,暒
U+6699,暙
U+66AD,暭
U+66B1,暱
U+66B5,暵
U+66BF,暿
U+66EC,曬
U+6701,朁
U+6705,朅
U+6712,朒
U+6719,朙
U+674C,杌
U+674D,杍
U+6754,杔
U+675D,杝
U+6774,杴
U+6776,杶
U+6792,枒
U+67B0,枰
U+67B2,枲
U+67C3,柃
U+67C8,柈
U+67D2,柒
U+67D9,柙
U+67DB,柛
U+67F0,柰
U+67F7,柷
U+6810,栐
U+6818,栘
U+681F,栟
U+682D,栭
U+6833,栳
U+683B,栻
U+683E,栾
U+6844,桄
U+6845,桅
U+6849,桉
U+684C,桌
U+6855,桕
U+6857,桗
U+686B,桫
U+686E,桮
U+687A,桺
U+687C,桼
U+6882,梂
U+6890,梐
U+6896,梖
U+6898,梘
U+6899,梙
U+689A,梚
U+689C,梜
U+68AA,梪
U+68AB,梫
U+68B4,梴
U+68BB,梻
U+68C3,棃
U+68C5,棅
U+68CC,棌
U+68CF,棏
U+68D6,棖
U+68D9,棙
U+68E4,棤
U+68E5,棥
U+68EC,棬
U+68F7,棷
U+68FB,棻
U+6903,椃
U+6907,椇
U+693B,椻
U+6946,楆
U+6969,楩
U+696C,楬
U+6972,楲
U+697A,楺
U+697F,楿
U+6992,榒
U+6996,榖
U+6998,榘
U+69A6,榦
U+69B0,榰
U+69B7,榷
U+69BA,榺
U+69BC,榼
U+69C0,槀
U+69D1,槑
U+69D6,槖
U+69E3,槣
U+69EE,槮
U+69EF,槯
U+69F3,槳
U+69F4,槴
U+69FE,槾
U+6A11,樑
U+6A1A,樚
U+6A1D,樝
U+6A30,樰
U+6A32,樲
U+6A33,樳
U+6A34,樴
U+6A3F,樿
U+6A46,橆
U+6A49,橉
U+6A4E,橎
U+6A52,橒
U+6A64,橤
U+6A7A,橺
U+6A7E,橾
U+6A83,檃
U+6A8B,檋
U+6A91,檑
U+6A9F,檟
U+6AA1,檡
U+6AAB,檫
U+6ABD,檽
U+6AC6,櫆
U+6AD0,櫐
U+6AD4,櫔
U+6ADC,櫜
U+6ADD,櫝
U+6AEC,櫬
U+6AF1,櫱
U+6AF2,櫲
U+6AF3,櫳
U+6AFD,櫽
U+6B0B,欋
U+6B0F,欏
U+6B10,欐
U+6B11,欑
U+6B17,欗
U+6B2F,欯
U+6B4A,歊
U+6B58,歘
U+6B6C,歬
U+6B75,歵
U+6B7A,歺
U+6B81,殁
U+6B9B,殛
U+6BAE,殮
U+6BBD,殽
U+6BBE,殾
U+6BC7,毇
U+6BC8,毈
U+6BC9,毉
U+6BDA,毚
U+6BE6,毦
U+6BE7,毧
U+6BEE,毮
U+6BF1,毱
U+6C02,氂
U+6C0A,氊
U+6C0E,氎
U+6C35,氵
U+6C36,氶
U+6C3A,氺
U+6C3F,氿
U+6C4D,汍
U+6C5B,汛
U+6C67,汧
U+6C6D,汭
U+6C84,沄
U+6C89,沉
U+6C94,沔
U+6C95,沕
U+6C97,沗
U+6CAD,沭
U+6CC2,泂
U+6CD0,泐
U+6CD6,泖
U+6CDA,泚
U+6CDC,泜
U+6CE9,泩
U+6CEC,泬
U+6CED,泭
U+6D00,洀
U+6D0A,洊
U+6D24,洤
U+6D26,洦
U+6D27,洧
U+6D2F,洯
U+6D34,洴
U+6D3C,洼
U+6D5B,浛
U+6D5E,浞
U+6D60,浠
U+6D70,浰
U+6D80,涀
U+6D81,涁
U+6D8A,涊
U+6D8D,涍
U+6D91,涑
U+6D98,涘
U+6DAB,涫
U+6DAE,涮
U+6DB4,涴
U+6DC2,淂
U+6DC8,淈
U+6DCE,淎
U+6DCF,淏
U+6DD0,淐
U+6DDF,淟
U+6DE9,淩
U+6DF6,淶
U+6E17,渗
U+6E1E,渞
U+6E22,渢
U+6E27,渧
U+6E32,渲
U+6E36,渶
U+6E3C,渼
