U+5B87,宇
U+5B88,守
U+5B89,安
U+5B8B,宋
U+5B8C,完
U+5B8D,宍
U+5B8F,宏
U+5B95,宕
U+5B97,宗
U+5B98,官
U+5B99,宙
U+5B9A,定
U+5B9B,宛
U+5B9C,宜
U+5B9D,宝
U+5B9F,実
U+5BA2,客
U+5BA3,宣
U+5BA4,室
U+5BA5,宥
U+5BAE,宮
U+5BB0,宰
U+5BB3,害
U+5BB4,宴
U+5BB5,宵
U+5BB6,家
U+5BB9,容
U+5BBF,宿
U+5BC2,寂
U+5BC4,寄
U+5BC5,寅
U+5BC6,密
U+5BCC,富
U+5BD2,寒
U+5BD3,寓
U+5BDB,寛
U+5BDD,寝
U+5BDF,察
U+5BE1,寡
U+5BE7,寧
U+5BE9,審
U+5BEE,寮
U+5BF5,寵
U+5BF8,寸
U+5BFA,寺
U+5BFE,対
U+5BFF,寿
U+5C01,封
U+5C02,専
U+5C04,射
U+5C06,将
U+5C09,尉
U+5C0A,尊
U+5C0B,尋
U+5C0E,導
U+5C0F,小
U+5C11,少
U+5C16,尖
U+5C1A,尚
U+5C24,尤
U+5C2D,尭
U+5C31,就
U+5C3A,尺
U+5C3B,尻
U+5C3C,尼
U+5C3D,尽
U+5C3E,尾
U+5C3F,尿
U+5C40,局
U+5C45,居
U+5C48,屈
U+5C4A,届
U+5C4B,屋
U+5C4D,屍
U+5C51,屑
U+5C55,展
U+5C5E,属
U+5C60,屠
U+5C61,屡
U+5C64,層
U+5C65,履
U+5C6F,屯
U+5C71,山
U+5C90,岐
U+5CA1,岡
U+5CA8,岨
U+5CA9,岩
U+5CAC,岬
U+5CB1,岱
U+5CB3,岳
U+5CB8,岸
U+5CE0,峠
U+5CE1,峡
U+5CE8,峨
U+5CEF,峯
U+5CF0,峰
U+5CF6,島
U+5CFB,峻
U+5D07,崇
U+5D0E,崎
U+5D16,崖
U+5D29,崩
U+5D50,嵐
U+5D69,嵩
U+5D6F,嵯
U+5D8B,嶋
U+5DBA,嶺
U+5DCC,巌
U+5DDD,川
U+5DDE,州
U+5DE1,巡
U+5DE3,巣
U+5DE5,工
U+5DE6,左
U+5DE7,巧
U+5DE8,巨
U+5DEE,差
U+5DF1,己
