U+9059,遙
U+9065,遥
U+907C,遼
U+9091,邑
U+90C1,郁
U+912D,鄭
U+9149,酉
U+9187,醇
U+918D,醍
U+9190,醐
U+91AC,醬
U+91C9,釉
U+91D8,釘
U+91E7,釧
U+9291,銑
U+92D2,鋒
U+92F8,鋸
U+9306,錆
U+9310,錐
U+9318,錘
U+932B,錫
U+936C,鍬
U+93A7,鎧
U+9583,閃
U+958F,閏
U+95A4,閤
U+963F,阿
U+9640,陀
U+9688,隈
U+96BC,隼
U+96C0,雀
U+96C1,雁
U+96DB,雛
U+96EB,雫
U+971E,霞
U+9756,靖
U+9784,鞄
U+978D,鞍
U+9798,鞘
U+97A0,鞠
U+97AD,鞭
U+9801,頁
U+980C,頌
U+9817,頗
U+985A,顚
U+98AF,颯
U+9957,饗
U+99A8,馨
U+99B3,馳
U+99B4,馴
U+99D5,駕
U+99FF,駿
U+9A4D,驍
U+9B41,魁
U+9B6F,魯
U+9B8E,鮎
U+9BC9,鯉
U+9BDB,鯛
U+9C2F,鰯
U+9C52,鱒
U+9C57,鱗
U+9CE9,鳩
U+9CF3,鳳
U+9CF6,鳶
U+9D28,鴨
U+9D3B,鴻
U+9D5C,鵜
U+9D6C,鵬
U+9DD7,鷗
U+9DF2,鷲
U+9DF9,鷹
U+9DFA,鷺
U+9E92,麒
U+9E9F,麟
U+9EBF,麿
U+9ECE,黎
U+9EDB,黛
U+9F0E,鼎
